lbks	Bookstacks	book
lbkso	Bookstacks: Oversize	book
lmcod	Media: Compact Disc	compact disc
lmvc	Media: Videorecording	DVD
ltm	Teaching Material	mixed
ltmyl	Youth Literature	book
lmmi	Microforms
lmmic	Media: Microcard
lmmif	Media: Microfiche
lmmim	Media: Microfilm
lmp	Media: Phono Record
lmvd	Media Desk: Videos
lref	References
lrefa	Reference: Atlas
lrefd	Reference: Desk
lrefs	Reference: Stacks
lrsvc	Reserves
lrsvm	Reserves: Media
lrsvt	Reserves: Textbook
ls	Special Collections
lsa	Special Collection
lsca	Special: Archives
lscao	Special: Archives-Oversize
lscfi	Special: Fisselbrand
lsci	Special: Irish Lit
lscj	Special: Jesuitica
lscla	Special: Le Moyne Authors
lscma	Special: Manuscript
lscmc	Special: McGrath
lscp	Special: Phono Record
lscr	Special: Rare Book
lscro	Special: Rare-Oversize
