birnc	Birnbaum Stacks
birnf	Birnbaum Popular Collection
bmain	Birnbaum Stacks
mcirc	Mortola Stacks
mcres	Mortola Popular Display
mllm	Mortola Juvenile
mort	Mortola Stacks
mainm	Mortola Stacks
lawl	Law Stacks
9adel	Adelphi
9bard	Bard
9bate	Bates College
9bowd	Bowdoin College
9cani	Canisius
9caze	Cazenovia
"9cbbc	Colby, Bates, Bowdoin Colleges"
9colb	Colby College
9colg	Colgate
9lemo	LeMoyne
9mari	Marist College
9mbry	Middlebury College
9meda	Medaille
9nyhc	Hamilton
9nyhw	Hobart
9nysc	Skidmore
9pace	Pace
9prat	Pratt Institute
9ritu	RIT
9rpiu	Rensselaer
9sien	SIENA
9stlu	St. Lawrence
9unio	Union
9usma	West Point
9usmm	US Merchant Marine Academy
9vass	Vassar
9well	Wellesley College
9will	Williams College
arcvi	University Archive
artb	PNY Art Dept
bcsd	Birnbaum Communication Sci & Disorders
bircc	Birnbaum Curr Center
birlc	Birnbaum Learning Commons
birno	Birnbaum Oversize
birra	Birnbaum Ref Atlas
birrc	Birnbaum Curr Room Use
birrd	Birnbaum Ref Rdesk
birrf	Birnbaum Ref Folio
birri	Birnbaum Ref Index
birro	Birnbaum Ref Oversize
bper	Birnbaum Periodicals
brare	Birnbaum Rare
bsys	Birnbaum Videos/DVDs
cr0zz	CRL
ill	Ill
lawap	Law (Pre-2002 in Storage)
lawar	Law Archives
lawas	Law Aloysia Storage
lawav	Law AV Room
lawc2	Law Undercounter on 2
lawc3	Law Undercounters on 3
lawc4	Law Undercounters on 4
lawc5	Law Undercounters on 5
lawcr	Law Computer Room
lawet	Law Library
lawfa	Law Faculty
lawfc	Law in Film Collection
lawh	Law Offsite Storage
lawhp	Law (Pre-1995 in Storage)
lawmc	Law Microfilm Collection
lawmf	Law Microfiche Collection
lawnt	Law Internet
lawpr	Law Professional Coll.
lawrb	Law Rare Book
lawso	Law Staff Office
libel	Elec Theses/Dissertation
llm	Mortola Oversize
ma-v	Online Media
mav	Online Media
mdell	Mortola Dell
mdubo	MORTOLA DUBOS
micrm	MORTOLA VIDEO
mlock	Mortola Reference Desk
mper	Mortola Periodicals
munid	Mortola Unclass Index
mush	Mortola Reference Perm
perm	E-BOOK COLLECTION
rbanx	Birnbaum Ref Annex
refb	Birnbaum Ref
refl	Law Reference
reflm	Law Reference Microform
refm	Mortola Ref
refma	MORTOLA REF ATLAS
refmr	Mortola Thesis
resb	Birnbaum Reserve
resbr	Birnbaum Ref Reserve
resl	Law Reserve
reslp	Law Course Reserve
reslr	Law Ref Reserve
resm	Mortola Reserve
resme	Electronic Reserves
resmn	MORTOLA RESERVE
resmr	ELECTRONIC RESERVES
resmw	WebBoard
rlibw	Library Database
rresm	WEB BOARD
sien	Siena
unidm	Mortola Unclass Index
xxxxx	xxx
y0100	Adelphi University - Swirbul Library
y0101	Adelphi University - Manhattan Center
y0110	Bard College
y0120	Canisius College
y0140	Le Moyne College
y0150	Marist College
y0160	Medaille College - Buffalo Campus
y0161	Medaille College - Rochester Campus
y0170	Pace University - Birnbaum Library
y0171	Pace University - Law Library
y0172	Pace University - Mortola Library
y0180	Pratt Institute - Brooklyn Campus
y0181	Pratt Institute - Manhattan Campus
y0190	Rensselaer Polytechnic Institute
y0200	Rochester Institute of Technology
y0210	Saint Lawrence University
y0220	Siena College
y0230	Vassar College
zzzzz	Error code
