pb0od	Brooklyn Circulation Desk - CD/DVD
pbbcf	Brooklyn Children's Fiction
pbbcn	Brooklyn Children's Non-fiction
pbbco	Brooklyn Children's Oversize
pbbfc	Brooklyn Fiction
pbbgn	Brooklyn Graphic Novels
pbbsk	Brooklyn Stacks
pbbso	Brooklyn Oversize
pm0od	Manhattan CD/DVD Collection
pmbfc	Manhattan Center Fiction
pmbsk	Manhattan Center Stacks
pmbso	Manhattan Center Oversize
psfav	Media Collection / Go to Lower Level Media Circulation Desk
p00st	Offsite storage / Go to Reference Desk
p0www	Online Resource
pb0ar	Pratt Institute Archives / Contact archives.library@pratt.edu
pb0ce	Campus Exhibit--Brooklyn
pb0il	Brooklyn Interlibrary Loan
pb0rr	Brooklyn Reserves
pb0ts	Technical Services--Brooklyn
pbbab	Artists' Books Collection / Go to Reference Desk
pbbfo	Library Faculty Office
pbboc	Special Collections Oversize / Go to Reference Desk
pbbpb	Pop-Up Book Collection / Go to Reference Desk
pbbrb	Special Collections Rare Books / Go to Reference Desk
pbbsc	Special Collections / Go to Reference Desk
pbbsf	Special Collections Folios / Go to Reference Desk
pbbth	Thesis Collection / Go to Reference Desk
pbbtl	Teaching and Learning Collection
pbcac	Brooklyn Reference - Atlases
pbccr	Brooklyn Circulation Desk - Maps
pbcsm	Brooklyn Reference - Sanborn Maps
pbmfm	Brooklyn Microforms
pbs2m	Brooklyn 2M Periodicals
pbsaa	Brooklyn Art & Arch Periodicals
pbscp	Brooklyn Current Periodicals
pbslc	Brooklyn Lower Level Cage/Ask at Reference Desk
pbsll	Brooklyn Lower Level Periodicals
pbsls	Library Science Periodicals in Brooklyn's Lower Level
pbssc	Special Collections Periodicals / Go to Reference Desk
pbszc	Zine Collection
pm0ce	Campus Exhibit--Manhattan
pm0cs	Manhattan Center Closed Stacks
pm0il	PMC ILL
pm0rr	Manhattan Center Reserves
pm0ts	Technical Services--Manhattan
pmbrf	Manhattan Center Reference
pmspc	Manhattan Center Periodicals
psbkl	VMR Brooklyn Library
psemm	Equipment Loan Office / Go to Lower Level
psf16	16mm Film Collection / Go to Lower Level Media Circulation Desk
psrmm	Media Reserves / Go to Lower Level Media Circulation Desk
tsd	Technical Services
