annex	Annex
ardvd	Art DVD
artcd	Art Audio
brow	Browsing Collection
cdrom	CD-ROM Cabinet
chrg	Charging Station
circ	Main Circulation Desk
disk	Diskette
stdio	Collaboration Studio
vxw1	VHS
vxw6	Main Audio
vxwa	Art
vxwf	Microfilm
vxwfa	Vassar Faculty Authors
vxwi	Microfiche
vxwr	Reference
vxww	Main
zine	Zines
zlit	Literature in Translation
vxwm	Music Book
argr	Art Grille
cper	Current Periodical Room
dewey	Dewey
ffmai	Main Flat Folio
hi375	HIST 375 Reference
micro	Microtext Room
proom	Periodical Room
vxwb	Music Score
vxwo	Archives/SpecColl (Archive)
vxwu	US Doc
vxwua	US Doc Map Cases
vxwuc	US Doc CD ROM
vxwug	US Doc Map Case
vxwui	US Doc Fiche
vxwup	US Doc Periodical
vxwv	Archives/SpecColl (VC)
spclm	Archives/SpecColl (Micro)
spcol	Archives/SpecColl (Office)
vxw9	Archives/SpecColl (Bechtl)
vxwc	Archives/SpecColl (Fac Coll)
vxwe	Archives/SpecColl (MSS)
vxwg	Archives/SpecColl (Grille)
vxwgt	Archives/SpecColl (Thesis)
vxwl	Archives/SpecColl (Alum)
muper	Music Periodical
muref	Music Reference Book
mures	Music Library Reserve
murxr	Music Reference X-Ref
mus3d	Music Library 3-Day
musfo	Music Folio
musov	Music Oversize
mustr	Music Treasure Room
vxw2	Music Lib Multimedia
vxw3	Music Computer Media
vxwh	Music Microfilm
vxwj	Music Microfiche
vxwk	Music Videorecording
vxws	Music Sound Recording
ardsk	Art Desk Reserve
arref	Art Reference
arres	Art Reserve
mndvd	Reserve DVD
mnlas	Reserve Laser
mnres	Main Reserve
mnvhs	Reserve Video
