OFFSITE	BY-REQUEST	Offsite Repository BY-REQUEST
MELLON	NEWBOOK	Mellon Institute Library NEWBOOK
MELLON	READING-RM	Mellon Institute Library READING-RM
ENGR-SCI	NEWBOOK	Engineering & Science Library NEWBOOK
ENGR-SCI	STACKS	Engineering & Science Library STACKS
HUNT	CAREER-2	Hunt Library CAREER-2
HUNT	FOLIOS-2	Hunt Library FOLIOS-2
HUNT	FOLIOS-4	Hunt Library FOLIOS-4
HUNT	NEWBOOK-1	Hunt Library NEWBOOK-1
HUNT	OVRSZQ-3	Hunt Library OVRSZQ-3
HUNT	OVRSZQ-4	Hunt Library OVRSZQ-4
HUNT	STACKS-2	Hunt Library STACKS-2
HUNT	STACKS-3	Hunt Library STACKS-3
HUNT	STACKS-4	Hunt Library STACKS-4
HUNT	FA-NEWBK-4	Hunt Library FA-NEWBK-4
