SHELVING LOCATIONS					Patron Locations	
Location Code (abbreviation for the location if used)	Location Name	Type	Fulfillment Unit		Pickup Location Code (abbreviation for the location if used)	Pickup Location Name
PZIO	Stapleton Library Children's Collection	Open	Non Circulating		Circ Desk	Stapleton Library
SHAFER	Stapleton Library Schafer Collection					
PZII	Stapleton Library Stapleton Stacks					
PZIT	Stapleton Library Textbook Collection					
PZI0	Orendorff Music Library Miniatures					
PZI1	Orendorff Music Library Books & Scores					
PZI2	Orendorff Music Library Sound Recordings					
GNOV	Stapleton Library Graphic Novels					
ETD	Stapleton  Library Theses & Dissertations					
PZIQ	Stapleton Library Media Resources					
