Fairchild - 5th Floor - North	Fairchild - 5th Floor - North
Fairchild - 6th Floor - North	Fairchild - 6th Floor - North
Fairchild - 6th Floor - North - Media Collection	Fairchild - 6th Floor - North - Media Collection
Fairchild - 7th Floor - North	Fairchild - 7th Floor - North
Linderman 1st Floor - Reading Room - Faculty Authors	Linderman 1st Floor - Reading Room - Faculty Authors
Linderman 1st Floor - Reading Room - Juvenile Collection	Linderman 1st Floor - Reading Room - Juvenile Collection
Linderman 1st Floor - Reading Room - New Books	Linderman 1st Floor - Reading Room - New Books
Linderman 1st Floor - Reading Room - Reading Room Collection	Linderman 1st Floor - Reading Room - Reading Room Collection
Linderman 1st Floor - Rotunda	Linderman 1st Floor - Rotunda
Linderman 2nd Floor - Rotunda	Linderman 2nd Floor - Rotunda
Linderman 3rd Floor - Rotunda	Linderman 3rd Floor - Rotunda
Linderman 3rd Floor - Stacks	Linderman 3rd Floor - Stacks
Linderman 4th Floor - Stacks	Linderman 4th Floor - Stacks
Linderman Ground Floor - Lower Level	Linderman Ground Floor - Lower Level
Linderman Ground Floor - Upper Level	Linderman Ground Floor - Upper Level
Lucy's Cafe - Linderman Ground Level Rotunda	Lucy's Cafe - Linderman Ground Level Rotunda
LMC-B	LMC-B
LMC-G	LMC-G
