ENGR stks	General Collection
UPB stks	General Collection
UPB over	Oversize Section (first floor) 
CHEM stks	General Collection
MUS stks	General Collection
MUS over	Oversize 
ART stksfac	Faculty Shelf
ART stks	General Collection
UPG stks	General Collection
UPG graph	Graphic Novels
UPG young	Young Adult
HILL stksafro	African American
HILL stksalld	Alldred Collection 
HILL dis	Display
HILL stkseac	East Asian Chinese Collection 
HILL stkseaj	East Asian Japanese Collection
HILL stkseak	East Asian Korean Collection 
HILL stks	General Collection
UPJ stks	General Collection (currently closed) 
UPJ graph	Graphic Novels (currently closed) 
LANG stks	General Collection 
LANG over	Oversize 
UPT stks	General Collection 
THOM stor	Stacks
