MAIN	Philadelphia Museum of Art Stacks	BOOK
MAINO	Philadelphia Museum of Art Stacks Oversize	BOOK
AFILE	Artist files
AMER	American Art
AMERO	American Art oversize
AMERF	American Art folio
AUCT	Auction catalogs
AUCTO	Auction catalogs oversize
AUCTF	Auction catalogs folio
AUCTR	Rare auction catalogs
BACK	Backlog
BACKO	Backlog oversize
BACKF	Backlog folio
CONS	Conservation
CONSO	Conservation oversize
CONSF	Conservation folio
COST	Costume & Textiles 
COSTO	Costume & Textiles oversize
COSTF	Costume & Textiles folio
DIET	Dietrich collection
DIETO	Dietrich collection
EAST	East Asian Art
EASTO	East Asian Art oversize
EASTF	East Asian Art folio
EDA	European Decorative Arts
EDAO	European Decorative Arts oversize
EDAF	European Decorative Arts folio
EDAR	European Decorative Arts reference
EUR	European Painting 
EURO	European Painting oversize
EURF	European Painting folio
FIC	Art Fiction
FLAT	Flat Storage
JC	Johnson Collection
JCAC	Johnson Collection auction catalogs
JCACO	Johnson Collection auction catalogs oversize
JCF	Johnson Collection folio
JCO	Johnson Collection oversize
KIEN	Kienbusch Collection
KIENA	Kienbusch Collection auction collection
KIENF	Kienbusch Collection folio
KIENO	Kienbusch Collection oversize
MAINF	Stacks folio
MFILM	Microfilm
MFICH	Microfiche
MOD	Modern & Contemporary
MODO	Modern & Contemporary oversize
MODF	Modern & Contemporary folio
PAM	Pamphlets
PAMO	Pamphlets oversize
PAMR	Rare Pamphlets
PAMRO	Rare Pamphlets oversize
PCON	Paper Conservation
PCONO	Paper Conservation oversize 
PCONF	Paper Conservation
PDP	Prints, Drawings and Photographs
PDPO	Prints, Drawings and Photographs oversize
PDPF	Prints, Drawings and Photographs folio
PDPR	Prints, Drawings and Photographs Rare
PROB 	See Library Staff
RARE	Rare books
RAREF	Rare folio
RAREO	Rare oversize
REF	Reference 
REFO	Reference overzie
REFF	Reference folio
REFR	Ready Reference 
REFT	Reference travel guides
RPMA	Reference - PMA Publications
RPMAF	Reference - PMA Publications folio
RPMAO	Reference - PMA Publications oversized 
SAA	South Asian Art 
SAAO	South Asian Art oversize
SAAF	South Asian Art folio
STOR	Storage
VOLU	Volunteer Library
VOLUO	Volunteer Library oversize
WERC	Wachovia Educational Res. Ctr
VDRC	Visual & Digital Res. Ctr
