alealfoc	Alexander Library East Asian Folio C
alealstac	Alexander Library East Asian Stacks C
aledlabc	Alexander Library Education Lab C
alefolioc	Alexander Library EFolio C
alfolioc	Alexander Library Folio C
aldocc	Alexander Library Government Documents C
aljuvc	Alexander Library Juvenile Materials Collection
aljuvrc	Alexander Library Juvenile Materials Reference Collection C
aldocnjc	Alexander Library NJ Government Documents C
alstackc	Alexander Library Stacks C
aldocusc	Alexander Library US Government Documents C
aldocusfoc	Alexander Library US Government Documents Oversize C
aldoclusc	Alexander Library US Law Government Documents C
crcareerc	Carr Library Career Collection C
crfolioc	Carr Library Oversize
crstackc	Carr Library Stacks C
chfolioc	Chang Library Oversize
chstackc	Chang Library Stacks C
dadocc	Dana Library Government Documents C
dadocnjc	Dana Library NJ Government Documents C
dafolioc	Dana Library Oversize C
dastackc	Dana Library Stacks C
dadocusc	Dana Library US Government Documents C
dgfolioc	Douglass Library Oversize C
dgplaysc	Douglass Library Playscripts
dgstackc	Douglass Library Stacks C
anstackc	Library Annex Stacks C
lsdocfoc	Library of Science & Medicine Documents Folio Collection C
lsdocc	Library of Science & Medicine Government Documents C
lsdocnjc	Library of Science & Medicine NJ Government Documents C
lsdocusfoc	Library of Science & Medicine Oversized US Government Documents C
lsstackc	Library of Science & Medicine Stacks C
lsdocusc	Library of Science & Medicine US Government Documents C
mafolioc	Math & Physics Library Oversize C
mastackc	Math & Physics Library Stacks C
cafolioc	Robeson Library Oversize C
castackc	Robeson Library Stacks C
cadocusc	Robeson Library US Government Documents C
sichinardm	Smith Library Chinard Humanities Collection
sistackm	Smith Library Stacks M
smstackc	SMLR – Carey Library Stacks C
