al	alealfoc	Alexander Library East Asian Folio C
al	alealstac	Alexander Library East Asian Stacks C
al	aledlabc	Alexander Library Education Lab C
al	alefolioc	Alexander Library EFolio C
al	alfolioc	Alexander Library Folio C
al	aldocc	Alexander Library Government Documents C
al	aljuvc	Alexander Library Juvenile Materials Collection
al	aljuvrc	Alexander Library Juvenile Materials Reference Collection C
al	aldocnjc	Alexander Library NJ Government Documents C
al	alstackc	Alexander Library Stacks C
al	aldocusc	Alexander Library US Government Documents C
al	aldocusfoc	Alexander Library US Government Documents Oversize C
al	aldoclusc	Alexander Library US Law Government Documents C
cr	crcareerc	Carr Library Career Collection C
cr	crfolioc	Carr Library Oversize
cr	crstackc	Carr Library Stacks C
ch	chfolioc	Chang Library Oversize
ch	chstackc	Chang Library Stacks C
da	dadocc	Dana Library Government Documents C
da	dadocnjc	Dana Library NJ Government Documents C
da	dafolioc	Dana Library Oversize C
da	dastackc	Dana Library Stacks C
da	dadocusc	Dana Library US Government Documents C
dg	dgfolioc	Douglass Library Oversize C
dg	dgplaysc	Douglass Library Playscripts
dg	dgstackc	Douglass Library Stacks C
an	anstackc	Library Annex Stacks C
ls	lsdocfoc	Library of Science & Medicine Documents Folio Collection C
ls	lsdocc	Library of Science & Medicine Government Documents C
ls	lsdocnjc	Library of Science & Medicine NJ Government Documents C
ls	lsdocusfoc	Library of Science & Medicine Oversized US Government Documents C
ls	lsstackc	Library of Science & Medicine Stacks C
ls	lsdocusc	Library of Science & Medicine US Government Documents C
ma	mafolioc	Math & Physics Library Oversize C
ma	mastackc	Math & Physics Library Stacks C
ca	cafolioc	Robeson Library Oversize C
ca	castackc	Robeson Library Stacks C
ca	cadocusc	Robeson Library US Government Documents C
si	sichinardm	Smith Library Chinard Humanities Collection
si	sistackm	Smith Library Stacks M
sm	smstackc	SMLR – Carey Library Stacks C
ra	rastacka	Academic Resource Center Stacks
al	alcirdeskq	Alexander Library Circulation Desk
al	alealbdn	Alexander Library East Asian Bound Chinese/Korean Serials N
al	alealpern	Alexander Library East Asian Periodicals N
al	alealraren	Alexander Library East Asian Rare Materials N
al	alealrefn	Alexander Library East Asian Reference N
al	alengsocc	Alexander Library English and Social Sciences Collection
al	alfolion	Alexander Library Folio N
al	aldoccomn	Alexander Library Government Documents Computer Files N
al	aldocefoc	Alexander Library Government Documents EFolio C
al	aldocefon	Alexander Library Government Documents EFolio N
al	aldocfoc	Alexander Library Government Documents Folio C
al	aldocfon	Alexander Library Government Documents Folio N
al	aldocmapn	Alexander Library Government Documents Maps
al	aldocmficn	Alexander Library Government Documents Microfiche
al	aldocmfiln	Alexander Library Government Documents Microfilm
al	aldocmfn	Alexander Library Government Documents Microform
al	aldocn	Alexander Library Government Documents N
al	aldocrefc	Alexander Library Government Documents Reference C
al	aldocrefn	Alexander Library Government Documents Reference N
al	almcdonn	Alexander Library McDonnell Collection N
al	almfichn	Alexander Library Microfiche Materials
al	alfchpern	Alexander Library Microfiche Periodicals
al	almfilmn	Alexander Library Microfilm Materials
al	alflmpern	Alexander Library Microfilm Periodicals
al	aldocnjfoc	Alexander Library NJ Government Documents Folio C
al	aldocnjfon	Alexander Library NJ Government Documents Folio N
al	aldocnjn	Alexander Library NJ Government Documents N
al	aldoclnjn	Alexander Library NJ Law Government Documents N
al	alpern	Alexander Library Periodicals N
al	alperfon	Alexander Library Periodicals Oversize N
al	alrecreado	Alexander Library Recreational Reading Collection
al	alrefc	Alexander Library Reference C
al	alrefcomn	Alexander Library Reference Computer Files
al	alrefdeskn	Alexander Library Reference Desk N
al	alrefefon	Alexander Library Reference EFolio
al	alreffoc	Alexander Library Reference Folio C
al	alreffon	Alexander Library Reference Folio N
al	alrefn	Alexander Library Reference N
al	alreserve	Alexander Library Reserve
al	alstakcomc	Alexander Library Stacks Computer Files C
al	alstakcomn	Alexander Library Stacks Computer Files N
al	alstakcomy	Alexander Library Stacks Computer Files Y
al	alstackn	Alexander Library Stacks N
al	alstacky	Alexander Library Stacks Y
al	aldocuscoc	Alexander Library US Government Documents Computer Files C
al	aldocuscon	Alexander Library US Government Documents Computer Files N
al	aldocuscov	Alexander Library US Government Documents Computer Files V
al	aldocusman	Alexander Library US Government Documents Maps N
al	aldocusmn	Alexander Library US Government Documents Microforms
al	aldocusn	Alexander Library US Government Documents N
al	aldocusfon	Alexander Library US Government Documents Oversize N
al	aldocusrn	Alexander Library US Government Documents Reference N
al	aldocusy	Alexander Library US Government Documents Y
al	aldoclusn	Alexander Library US Law Government Documents N
ar	arcirdeskq	Art Library Circulation Desk
ar	ardvdn	Art Library Digital Video Discs
ar	arefolion	Art Library Elephant Oversize N
ar	armfichn	Art Library Microfiche Materials
ar	arfchpern	Art Library Microfiche Periodicals
ar	arflmpern	Art Library Microfilm Periodicals
ar	arfolioc	Art Library Oversize C
ar	arpern	Art Library Periodicals
ar	arpermres	Art Library Permanent Reserve
ar	arxefon	Art Library Rare Books Elephant Oversize
ar	arxn	Art Library Rare Books N
ar	arxfon	Art Library Rare Books Oversize N
ar	arxpern	Art Library Rare Periodicals
ar	arrefn	Art Library Reference
ar	arrefcomn	Art Library Reference Computer Files
ar	arreserve	Art Library Reserve
ar	arstackc	Art Library Stacks C
ar	arstakcomn	Art Library Stacks Computer Files
cr	crcarrefn	Carr Library Career Reference Collection N
cr	crcirdeskq	Carr Library Circulation Desk
cr	crmichn	Carr Library Microfiche Materials
cr	crflmpern	Carr Library Microfilm Periodicals
cr	crpern	Carr Library Periodicals
cr	crpercomn	Carr Library Periodicals Computer Files
cr	crpermres	Carr Library Permanent Reserve
cr	crrecceado	Carr Library Recreational Reading Collection
cr	crrefcomn	Carr Library Reference Computer Files
cr	crrefdeskn	Carr Library Reference Desk
cr	crrefn	Carr Library Reference N
cr	crreserve	Carr Library Reserve
cr	crstakcomn	Carr Library Stacks Computer Files
cr	crstackn	Carr Library Stacks N
ch	chcirdeskq	Chang Library Circulation Desk
ch	chcookn	Chang Library Cook Collection
ch	chpern	Chang Library Periodicals
ch	chpercomn	Chang Library Periodicals Computer Files
ch	chrefcomn	Chang Library Reference Computer Files
ch	chrefn	Chang Library Reference N
ch	chreffon	Chang Library Reference Oversize
ch	chreserve	Chang Library Reserve
ch	chstakcomc	Chang Library Stacks Computer Files
ch	chstackn	Chang Library Stacks N
da	daarchivn	Dana Library Archives N
da	dacassetr	Dana Library Audio Cassettes R
da	dacdiscg	Dana Library Audio Compact Discs G
da	daavkitc	Dana Library Audiovisual Kits
da	dabusrefn	Dana Library Business Reference Collection
da	dacirdeski	Dana Library Circulation Desk I
da	danewarkn	Dana Library City of Newark Special Collection N
da	danewarkp	Dana Library City of Newark Special Collection P
da	danewarkv	Dana Library City of Newark Special Collection V
da	dadoccomn	Dana Library Computer File Government Documents
da	dadocusco0	Dana Library Computer File US Government Documents 0
da	dadocuscoc	Dana Library Computer File US Government Documents C
da	dadocuscog	Dana Library Computer File US Government Documents G
da	dadocuscon	Dana Library Computer File US Government Documents N
da	dadocuscov	Dana Library Computer File US Government Documents V
da	dadocuscoy	Dana Library Computer File US Government Documents Y
da	dadvdc	Dana Library Digital Video Discs C
da	dadvdn	Dana Library Digital Video Discs N
da	dadvdp	Dana Library Digital Video Discs P
da	dadvdv	Dana Library Digital Video Discs V
da	dadocusman	Dana Library Map US Government Documents
da	damediac	Dana Library Media Room Books Collection C
da	damedian	Dana Library Media Room Books Collection N
da	damediay	Dana Library Media Room Books Collection Y
da	damfichn	Dana Library Microfiche Materials
da	damfilmn	Dana Library Microfilm Materials
da	daflmpern	Dana Library Microfilm Periodicals
da	dadocusmn	Dana Library Microform US Government Documents
da	dadocnj0	Dana Library NJ Government Documents 0
da	dadocnjn	Dana Library NJ Government Documents N
da	dafolion	Dana Library Oversize N
da	dapern	Dana Library Periodicals N
da	dapermres	Dana Library Permanent Reserve
da	dacamoesc	Dana Library Portuguese Cultural Heritage Room (Dana) C
da	darefcomn	Dana Library Reference Computer Files
da	darefdeskn	Dana Library Reference Desk
da	dadocrefn	Dana Library Reference Government Documents N
da	darefn	Dana Library Reference N
da	dadocusrn	Dana Library Reference US Government Documents N
da	dareserve	Dana Library Reserve
da	daspecoln	Dana Library Special Collections
da	dastakcomc	Dana Library Stacks Computer Files C
da	dastackn	Dana Library Stacks N
da	dastackr	Dana Library Stacks R
da	dastackv	Dana Library Stacks V
da	dadocus0	Dana Library US Government Documents 0
da	dadocusn	Dana Library US Government Documents N
da	dadocusy	Dana Library US Government Documents Y
da	davideo0	Dana Library Videotapes
dg	dgcassetn	Douglass Library Audio Cassettes N
dg	dgcassetv	Douglass Library Audio Cassettes V
dg	dgcdiscc	Douglass Library Audio Compact Discs C
dg	dgcdiscg	Douglass Library Audio Compact Discs G
dg	dgcdiscn	Douglass Library Audio Compact Discs N
dg	dgcdiscv	Douglass Library Audio Compact Discs V
dg	dgavkity	Douglass Library Audiovisual Kits
dg	dgcirdeskq	Douglass Library Circulation Desk
dg	dgdvdc	Douglass Library Digital Video Discs C
dg	dgdvdn	Douglass Library Digital Video Discs N
dg	dgdvdp	Douglass Library Digital Video Discs P
dg	dgdvdv	Douglass Library Digital Video Discs V
dg	dgfilmn	Douglass Library Films
dg	dgmfichn	Douglass Library Microfiche Materials
dg	dgmfilmn	Douglass Library Microfilm Materials
dg	dgflmpern	Douglass Library Microfilm Periodicals
dg	dgmediafo4	Douglass Library Oversize Media Collection 4
dg	dgmediafoc	Douglass Library Oversize Media Collection C
dg	dgmediafog	Douglass Library Oversize Media Collection G
dg	dgmediafov	Douglass Library Oversize Media Collection V
dg	dgxfon	Douglass Library Oversized Rare Books
dg	dgpalrefn	Douglass Library Performing Arts Library Reference
dg	dgpern	Douglass Library Periodicals
dg	dgxn	Douglass Library Rare Books
dg	dgrefn	Douglass Library Reference
dg	dgreserve	Douglass Library Reserve
dg	dgslidev	Douglass Library Slides
dg	dgstackn	Douglass Library Stacks N
dg	dgvdiscn	Douglass Library Video Laser Discs N
dg	dgvideov	Douglass Library Videotapes
dg	dgdiscr	Douglass Library Vinyl LP Records R
dg	dgdiscv	Douglass Library Vinyl LP Records V
hu	huarchivn	Hungarian Foundation Archives
hu	hucassetr	Hungarian Foundation Audio Cassettes R
hu	hucdiscg	Hungarian Foundation Audio Compact Discs G
hu	hudvdv	Hungarian Foundation Digital Video Discs V
hu	hujuvc	Hungarian Foundation Juvenile Materials Collection C
hu	humssn	Hungarian Foundation Manuscript Collection
hu	humpcasen	Hungarian Foundation Map Case
hu	humapn	Hungarian Foundation Map Collection N
hu	humfilmn	Hungarian Foundation Microfilm Materials
hu	huflmpern	Hungarian Foundation Microfilm Periodicals
hu	hunewspapn	Hungarian Foundation Newspaper Collection
hu	hustkakcomn	Hungarian Foundation None
hu	hufolion	Hungarian Foundation Oversize
hu	huxfon	Hungarian Foundation Oversized Rare Books
hu	hupern	Hungarian Foundation Periodicals
hu	huxn	Hungarian Foundation Rare Books
hu	hurefn	Hungarian Foundation Reference N
hu	hustackc	Hungarian Foundation Stacks C
hu	hustackn	Hungarian Foundation Stacks N
