AnnenLib annb	Annenberg Library
AnnenLib annbcirc	Annenberg Library Circulation
AnnenLib annbgovt	Annenberg Library Government Docs
AnnenLib annbinde	Annenberg Library Bindery
AnnenLib annbnewbk	Annenberg New Books
AnnenLib annbrefe	Annenberg Library Reference
AnnenLib annbrese	Annenberg Reserves
AnnenLib annbthes	Annenberg Library Theses
ArborLib arbor	Arbor Library
AthLib amimp	Athenaeum Library
AthLib atlas	Athenaeum Library
AthLib britimp	Athenaeum Library
AthLib catoffice	Athenaeum Library
AthLib cidirbusrm	Athenaeum Library
AthLib circcoll	Athenaeum Library
AthLib collcare	Athenaeum Library
AthLib fic	Athenaeum Library
AthLib forimp	Athenaeum Library
AthLib litaward	Athenaeum Library
AthLib newacqu	Athenaeum Library
AthLib offsitede	Athenaeum Library
AthLib rarecoll	Athenaeum Library
AthLib reevecoll	Athenaeum Library
AthLib ref	Athenaeum Library
AthLib ruppcoll	Athenaeum Library
AthLib serials	Athenaeum Library
AthLib tradecat	Athenaeum Library
BatesCntr nursarch	Bates Center
BiomLib biom	Biomedical Library
BiomLib biomhist	Biomedical Library
BiomLib biomlibr	Biomedical Library
BiomLib biomperi	Biomedical Library
BiomLib biomrede	Biomedical Library
BiomLib biomrefe	Biomedical Library
BiomLib biomrese	Biomedical Library
ChemLib chcirc	Chemistry Library
ChemLib chem	Chemistry Library
ChemLib chemnewbk	Chemistry Library
ChemLib chemrdrm	Chemistry Library
ChemLib chemrefe	Chemistry Library
ChemLib chemrese	Chemistry Library
DentalLib dent	Dental Library
DentalLib dentnewbks	Dental Library
DentalLib dentrare	Dental Library
DentalLib dentrefe	Dental Library
DentalLib dentrese	Dental Library
DentalLib dentshils	Dental Library
DentalLib dncirc	Dental Library
FisherFAL facirc	Fisher Fine Arts Library
FisherFAL fanewbook	Fisher Fine Arts Library
FisherFAL fine	Fisher Fine Arts Library - Stacks
FisherFAL finecage	Fisher Fine Arts Library
FisherFAL finecirc	Fisher Fine Arts Library
FisherFAL finecore	Fisher Fine Arts Library
FisherFAL finelock	Fisher Fine Arts Library
FisherFAL finerare	Fisher Fine Arts Library
FisherFAL finerefe	Fisher Fine Arts Library - Reference
FisherFAL finerese	Fisher Fine Arts Library
FisherFAL fineslid	Fisher Fine Arts Library
FisherFAL finestudio	Fisher Fine Arts Library
KatzLib cjs	Library at the Katz Center
KatzLib cjsambx	Library at the Katz Center
KatzLib cjsarc	Library at the Katz Center
KatzLib cjsarcms	Library at the Katz Center
KatzLib cjsarcths	Library at the Katz Center
KatzLib cjsbox1	Library at the Katz Center
KatzLib cjsbox2	Library at the Katz Center
KatzLib cjsbox3	Library at the Katz Center
KatzLib cjscdrom	Library at the Katz Center
KatzLib cjsdir	Library at the Katz Center
KatzLib cjsencyc	Library at the Katz Center
KatzLib cjsfol	Library at the Katz Center
KatzLib cjshur	Library at the Katz Center
