MAIN	Main Stacks
ACQ	Acquisitions Department
Astronomy	Astronomy Department
AB	Audio Books
AHI	Augustinian Hist. Inst.
CASA	CASA
CAT	Cataloging Department
CUR	Current Periodicals
DVD	DVD Collection
Dundale	Dundale
CIR	Falvey Circulation
FAL	Falvey Library
GAREY	Garey Hall Stacks
HP	Health Promotion
NURSPC	NURSPC
NURLRC	Nursing LRC
OFAL	Old Falvey
POP	Popular Reading
RID	Ref-Information Desk
RM	Reference-Microfiche
RELAIS	Relais
RESCLOSED	Reserve Closed Shelves
SELF	Self Check Circulation
SMITHSPC	Spec Col Smith Maps
OC	Spec Coll Art Curiosa
AHISPC	Spec Coll Aug  His Inst
OE	Spec Coll Augustiniana
OI	Spec Coll Autographed Bks
OS	Spec Coll Distinguished
OA	Spec Coll Early Amer.Impr
O	Spec Coll Early Eur.Impr.
OB	Spec Coll Fine Bindings
OF	Spec Coll First Editions
OH	Spec Coll Hubbard
INC	Spec Coll Incunabula
OL	Spec Coll Limited Edition
OM	Spec Coll Manuscripts
XM	Spec Coll McGarrity
OMC	Spec Coll Mendel
OR	Spec Coll Nursing
OIS	Spec Coll Shelley
OST	Spec Coll Tucker
OMV	Spec Coll VU Manuscripts
OV	Spec Coll Villanova
XJ	Spec Coll Worthington
OVA	Spec University Archives
TEST	TEST
VITAL	VITAL Library
WWW	World Wide Web
