docspa	Government Documents, 2nd Floor: Pennsylvania Documents
docsus	Government Document, 2nd Floor: US Documents
fhg3	F.H. Green Library, Third Floor General Collection
fhg3h	F.H. Green Library, Third Floor Holocaust Collection
fhg3o	F.H. Green Library, Third Floor Oversize Collection
fhg3ho	F.H. Green Library, Third Floor Oversize Holocaust Collection
fhg4	F.H. Green Library, Fourth Floor General Collection
fhg4o	F.H. Green Library, Fourth Floor Oversize Collection
fhg5	F.H. Green Library, Fifth Floor General Collection
fhg5o	F.H. Green Library, Fifth Floor Oversize Collection
fhg6	F.H. Green Library, Sixth Floor General Collection
fhg6o	F.H. Green Library, Sixth Floor Oversize Collection
juve	WCU Juvenile Collection, 1st Floor
juvebrd	WCU Juvenile Board Book Collection, 1st Floor
juvejfic	WCU Juvenile Fiction Collection, 1st Floor
juvenonf	WCU Juvenile Nonfiction Collection, 1st Floor
juvepict	WCU Juvenile Picture Book Collection, 1st Floor
imcbb	IMC Big Book Collection, 1st Floor
imcbkk	IMC Book Kit Collection, 1st Floor
imcjkd	IMC Jackdaw Collection, 1st Floor
imctxt	IMC Book Collection, 1st Floor
pmbk	Presser Music Library: Books
pmmin	Presser Music Library: Miniature Scores
pmed	Presser Music Education Collection
pmbkov	Presser Music Library: Oversize Books
pmscov	Presser Music Library: Oversize Scores
pmsc	Presser Music Library: Scores
