mcir	M CIRCULATING
mcurc	M CURRICULUM
mcurn	M CURRICULUM
mtxc	M TAX CIRCULATING
dalum	D Media Services
darch	D ARCHIVE
dav	D Audiovisual
dbvhc	D BRANDYWINE HISTORY
dcare	D CAREER DEVELOPMENT
dcdr1	D CD-Rom 1
del	DELAWARE
delcl	D CIVIL CLINIC
dfac	D FACULTY LOUNGE
dfich	D MICROFICHE
dfilm	D MICROFILM
dheal	D HEALTH LAW INSTITUTE
dillb	D ILL Books
dillc	D ILL Chapters
dilld	D ILL Dissertations
dillg	D ILL Gov. Reports
dillj	D ILL Journals
dillp	D ILL Proceedings
dillt	D ILL Tech. Reports
dlae	D ENVIR LAW CLINIC
dlar	D MICRO ROOM
dlaw	law library
dlei	D LEI Coll.
dloff	D LIB OFFICE
dmain	DELAWARE
dnew	D Featured Books
dpcla	D Internet
dpirc	D PIRC
dstul	D LOUNGE
dtech	D TECH. SERVICES
ext	Exton
f500	LAW FAC OFF
gov	D GOVDOC
h us	H U.S.
har	HARRISBURG
hcare	H CAREER DEVELOPMENT
hcdro	H CD-ROM STATION
hcl	H CIVIL CLINIC
hcomp	H COMPACT
hcres	H COURSE RESERVE
hfac	H FAC LOUNGE
hfdoc	H STACKS
hfich	H MICROFICHE
hfilm	H MICROFILM
hgov	H GOVDOC
hillb	H ILL Books
hillc	H ILL Chapters
hilld	H ILL Dissertations
hillg	H ILL Gov. reports
hillj	H ILL Journals
hillp	H ILL Proceedings
hillt	H ILL Tech. Reports
hlawr	H STACKS
hloff	H Lib Office
hlrof	H LAW REVIEW OFFICE
hmai2	H Remote Storage
hmain	H STACKS
hmicf	H MICROFORM
hmicr	H MICRO ROOM
hnew	H New Bookshelf
hnurs	H NURSING
hpcla	H Internet
hpub	H PUBLIC RELATIONS
href	H REFERENCE
hrefd	H REF DESK
hres	H RESERVE
hres2	H CLOSED RESERVE
hstud	H RESERVE
htech	H TECH SERV
jour1	D INDEXES
journ	D JOURNALS
lawre	D LAW REVIEW OFFICE
linte	LAW INTERNET
mabs	M ABSTRACT
main	DELAWARE
mar	M ANNUAL REPORT
marc	M ARCHIVES
marcr	M Archives Reference
mcas	M AUDIOCASSETTE
mcc	M COLLEGE CATALOG
mcd	M COMPACT DISC
mdrf	M DESK REFERENCE
mds	M DISABILITY SERVICES
mdvd	M DVD
mequi	M EQUIPMENT
mfsp	M FILMSTRIP
mill	M INTERLIBRARY LOAN
millb	M ILL-BOOK
millc	M ILL-CHAPTER
milld	M ILL-DISSERTATION
millg	ILL-GOV DOCUMENT
millj	M ILL-JOURNAL ARTICLE
millp	M ILL-PROCEEDINGS
millt	M ILL-TECH REPORT
mimr	M IMS RESERVE
mims	M IMS
mind	M INDEX
mkey	M KEY
mld	M LASERDISC
mlinc	M LINDSAY
mlinn	M LINDSAY
mmap	M MAP
mmcn	M MCNAUGHTON
mmen	M MENU
mmfic	M MICROFICHE
mmfil	M MICROFILM
moo	M ON ORDER
mpam	M PAMPHLET
mper	M SERIALS
mrbr	M INACTIVE RESERVE
mrec	M RECORD
mref	M REFERENCE
mrefc	M REFERENCE CIRCULATING
mres	M RESERVE
mrom	M CD-ROM
mroom	M ROOM
msco	M SCORES
msex	M HUMAN SEXUALITY ARCHIVES
msld	M SLIDES
mtxc	M TAX CIRCULATING
mtxr	M TAX REFERENCE
mvid	M VIDEO
mweb	M WEB
mwolf	Wolfgram
pabcl	PA BANKRUPTCY CLINIC
pacl	PA Clinic
palci	PALCI-URSA
ref	D REFERENCE
ref2	D REFERENCE DESK
res	D STUDY AIDS
res2	D RESERVE
spec	D SPECIAL COLL.
trea3	D BOOK STORAGE
trea4	D Lib Conference Rm
treat	D TREATISE
tres	D COURSE RESERVE
us	D US 2nd Floor
us1	D US 1st Floor
us2	D HISTORICAL 3RD FLOOR
us3	D US 3rd Floor
