bc	B Canaday Stacks	Open	Circulating		bc	B Canaday
bcf	B Canaday Folio	Open	Circulating			
bcff	B Canaday Double Folio	Open	Circulating			
bcsfi	B Canaday Sci-Fi	Open	Circulating			
bkraw	B Rainbow Alliance	Open	Circulating			
bxc	B Quita's Corner	Open	Circulating			
ba	B Carpenter Stacks	Open	Circulating			
baf	B Carpen Folio	Open	Circulating			
baff	B Carpen Double Folio	Open	Circulating			
bs	B Collier Stacks	Open	Circulating			
bsx	B Collier Folio	Open	Circulating			
bsff	B Collier Double Folio	Open	Circulating			
