1FN	North Hall Library First Floor North
1FN	North Hall Library First Floor Northq
1FS	North Hall Library First Floor South
1FS	North Hall Library First Floor South
1FS	North Hall Library First Floor South
1FS	North Hall Library First Floor South
CSTK	North Hall Library Closed Stacks
CSTK	North Hall Library Closed Stacks
4FN	North Hall Library Fourth Floor North
4FS	North Hall Library Fourth Floor South
2FN	North Hall Library Second Floor North
2FN	North Hall Library Second Floor North
3FN	North Hall Library Third Floor North
3FS	North Hall Library Third Floor South
3FS	North Hall Library Third Floor South
ATR3	North Hall Library Third Floor Atrium
ATR2	North Hall Library Second Floor Atrium
ATR1	North Hall Library First Floor Atrium
